steps,time_ms
1000,0.991000
2000,0.022708
3000,0.122542
4000,0.048125
5000,0.027417
6000,0.040375
7000,0.036500
8000,0.032708
9000,0.126833
10000,0.044458
11000,0.042541
12000,0.044791
13000,0.047083
14000,0.043417
15000,0.089083
16000,0.050625
17000,0.053041
18000,0.059084
19000,0.058500
20000,0.056542
21000,0.066542
22000,0.059334
23000,0.061792
24000,0.066167
25000,0.065625
26000,0.069250
27000,0.071250
28000,0.073750
29000,0.077750
30000,0.085042
31000,0.085125
32000,0.088541
33000,0.092542
34000,0.095625
35000,0.098791
36000,0.106500
37000,0.107792
38000,0.109000
39000,0.113125
40000,0.116833
41000,0.123375
42000,0.121292
43000,0.112792
44000,0.137208
45000,0.121250
46000,0.124625
47000,0.125042
48000,0.138834
49000,0.137459
50000,0.134667
51000,0.138916
52000,0.143875
53000,0.140917
54000,0.148792
55000,0.153500
56000,0.209750
57000,0.192084
58000,0.187875
59000,0.194750
60000,0.209291
61000,0.199875
62000,0.202750
63000,0.197208
64000,0.208709
65000,0.217250
66000,0.209000
67000,0.226875
68000,0.225375
69000,0.224792
70000,0.237750
71000,0.264792
72000,0.236084
73000,0.242541
74000,0.253250
75000,0.244209
76000,0.258416
77000,0.269291
78000,0.259750
79000,0.267709
80000,0.275292
81000,0.263708
82000,0.289084
83000,0.302000
84000,0.285166
85000,0.301500
86000,0.300875
87000,0.307125
88000,0.300583
89000,0.261208
90000,0.260500
91000,0.260708
92000,0.272583
93000,0.277959
94000,0.267083
95000,0.304583
96000,0.305625
97000,0.284375
98000,0.296875
99000,0.292208
100000,0.293208
101000,0.306542
102000,0.309084
103000,0.297958
104000,0.312417
105000,0.316041
106000,0.307208
107000,0.326375
108000,0.321042
109000,0.287125
110000,0.288750
111000,0.289583
112000,0.282500
113000,0.294625
114000,0.301833
115000,0.298875
116000,0.307708
117000,0.323583
118000,0.334292
119000,0.334208
120000,0.317875
121000,0.321833
122000,0.323541
123000,0.333959
124000,0.345500
125000,0.332125
126000,0.341167
127000,0.355084
128000,0.346250
129000,0.352875
130000,0.359000
131000,0.351917
132000,0.361875
133000,0.341166
134000,0.314208
135000,0.322959
136000,0.329458
137000,0.323375
138000,0.330167
139000,0.364625
140000,0.332375
141000,0.342500
142000,0.404750
143000,0.347708
144000,0.346666
145000,0.361500
146000,0.357000
147000,0.398875
148000,0.376083
149000,0.387333
150000,0.376667
151000,0.390959
152000,0.394459
153000,0.390291
154000,0.403625
155000,0.379166
156000,0.354917
157000,0.368125
158000,0.398084
159000,0.365709
160000,0.389666
161000,0.376167
162000,0.379875
163000,0.395125
164000,0.389667
165000,0.387584
166000,0.471875
167000,0.396208
168000,0.391417
169000,0.434625
170000,0.387333
171000,0.368625
172000,0.377709
173000,0.378958
174000,0.377208
175000,0.388625
176000,0.387334
177000,0.392125
178000,0.391875
179000,0.393167
180000,0.413083
181000,0.397750
182000,0.403625
183000,0.408583
184000,0.402125
185000,0.408583
186000,0.415208
187000,0.410792
188000,0.414917
189000,0.463375
